Sell," ""List"""," ""Living"""," ""Rooms"""," ""Beds"""," ""Baths"""," ""Age"""," ""Acres"""," ""Taxes""",Sell>180 & Taxes <3500
142, 160, 28, 10, 5, 3,  60, 0.28,  3167,False
175, 180, 18,  8, 4, 1,  12, 0.43,  4033,False
129, 132, 13,  6, 3, 1,  41, 0.33,  1471,False
138, 140, 17,  7, 3, 1,  22, 0.46,  3204,False
232, 240, 25,  8, 4, 3,   5, 2.05,  3613,False
135, 140, 18,  7, 4, 3,   9, 0.57,  3028,False
150, 160, 20,  8, 4, 3,  18, 4.00,  3131,False
207, 225, 22,  8, 4, 2,  16, 2.22,  5158,False
271, 285, 30, 10, 5, 2,  30, 0.53,  5702,False
 89,  90, 10,  5, 3, 1,  43, 0.30,  2054,False
153, 157, 22,  8, 3, 3,  18, 0.38,  4127,False
 87,  90, 16,  7, 3, 1,  50, 0.65,  1445,False
234, 238, 25,  8, 4, 2,   2, 1.61,  2087,True
106, 116, 20,  8, 4, 1,  13, 0.22,  2818,False
175, 180, 22,  8, 4, 2,  15, 2.06,  3917,False
165, 170, 17,  8, 4, 2,  33, 0.46,  2220,False
166, 170, 23,  9, 4, 2,  37, 0.27,  3498,False
136, 140, 19,  7, 3, 1,  22, 0.63,  3607,False
148, 160, 17,  7, 3, 2,  13, 0.36,  3648,False
151, 153, 19,  8, 4, 2,  24, 0.34,  3561,False
180, 190, 24,  9, 4, 2,  10, 1.55,  4681,False
293, 305, 26,  8, 4, 3,   6, 0.46,  7088,False
167, 170, 20,  9, 4, 2,  46, 0.46,  3482,False
190, 193, 22,  9, 5, 2,  37, 0.48,  3920,False
184, 190, 21,  9, 5, 2,  27, 1.30,  4162,False
157, 165, 20,  8, 4, 2,   7, 0.30,  3785,False
110, 115, 16,  8, 4, 1,  26, 0.29,  3103,False
135, 145, 18,  7, 4, 1,  35, 0.43,  3363,False
567, 625, 64, 11, 4, 4,   4, 0.85, 12192,False
180, 185, 20,  8, 4, 2,  11, 1.00,  3831,False
183, 188, 17,  7, 3, 2,  16, 3.00,  3564,False
185, 193, 20,  9, 3, 2,  56, 6.49,  3765,False
152, 155, 17,  8, 4, 1,  33, 0.70,  3361,False
148, 153, 13,  6, 3, 2,  22, 0.39,  3950,False
152, 159, 15,  7, 3, 1,  25, 0.59,  3055,False
146, 150, 16,  7, 3, 1,  31, 0.36,  2950,False
170, 190, 24, 10, 3, 2,  33, 0.57,  3346,False
127, 130, 20,  8, 4, 1,  65, 0.40,  3334,False
265, 270, 36, 10, 6, 3,  33, 1.20,  5853,False
157, 163, 18,  8, 4, 2,  12, 1.13,  3982,False
128, 135, 17,  9, 4, 1,  25, 0.52,  3374,False
110, 120, 15,  8, 4, 2,  11, 0.59,  3119,False
123, 130, 18,  8, 4, 2,  43, 0.39,  3268,False
212, 230, 39, 12, 5, 3, 202, 4.29,  3648,False
145, 145, 18,  8, 4, 2,  44, 0.22,  2783,False
129, 135, 10,  6, 3, 1,  15, 1.00,  2438,False
143, 145, 21,  7, 4, 2,  10, 1.20,  3529,False
247, 252, 29,  9, 4, 2,   4, 1.25,  4626,False
111, 120, 15,  8, 3, 1,  97, 1.11,  3205,False
133, 145, 26,  7, 3, 1,  42, 0.36,  3059,False
 ,,,,,,,,,
